mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_946_38;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0.6134604652604853	0	0	0
MAG_216_19;terpene	0	0	0	0	0	0	0	0	0.27842569543517554	0.17811610444263926	0.28890563325883534	0	0	0	0	0
MAG_209_55;NRPS-like	0	0	0	0	0	0	0	0	0.1598792865754408	0.14519392837619305	0.21372316958964907	0.05190577993295193	0.05836961811777929	0.17683882807298257	0	0
MAG_1535_25;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6777131893649355	0	0
MAG_841_19;NRPS-like	0	0	0	0	0.356472886004282	0	0	0	0	0	0	0.047591037545694145	0	0.4458657025447214	0	0
MAG_1148_13;RRE-containing	0	0	0	0	0	0	0	0	0	0.3978585736446519	0.16553461544454207	0.11159514960078634	0	0.2472715964910148	0	0
MAG_109_5;NRPS-like	0	0	0	0	0	0	0	0	0	0.313444891578088	0	0.13769473979738092	0.0913299531367628	0	0.32774512009340945	0.08476521367701181
MAG_187_6;hserlactone	0	0	0	0	0	0	0	0	0	0	0.5547501613180839	0.16974623714539375	0.20632858056619116	0	0	0
MAG_21_34;hserlactone	0	0	0	0	0	0.6946831506132658	0	0	0	0	0.14694509448494672	0	0	0	0	0
MAG_1194_47;ranthipeptide	0	0	0	0	0	0	0	0	0	0.40254412090194397	0	0	0	0.5331429936226261	0	0
MAG_193_47;arylpolyene	0	0	0	0	0	0	0	0	0.33119660732907075	0.13445849952727915	0.18765662653052548	0.20498369127004956	0.11014194986578553	0	0.12180293822798785	0
MAG_205_2;betalactone	0	0	0	0	0	0	0	0	0	0.325877427067691	0	0.22905259471955927	0	0.5042776335452555	0	0
MAG_1524_12;hserlactone	0	0	0	0	0	0.8423997512032675	0	0	0	0	0	0	0	0	0	0
MAG_975_89;ranthipeptide	0	0	0	0	0	0	0	0	0.1269214416526309	0.1893649564911604	0.12461375252190429	0.038457670385098994	0	0.6079776209713447	0	0
MAG_1148_44;betalactone	0	0	0	0	0	0	0	0	0	0.16370381031190132	0	0.30810615385701096	0.4162758733180658	0	0.27407003932048174	0
MAG_1010_21;RRE-containing	0	0	0	0	0	0	0	0	0.5077412800209168	0.2883525348320587	0	0.049004294513914685	0.157533417343149	0	0	0.20298942995057404
